,Gamma,OI,underlyingClose,Strike,direction
1,3.582058116516851e-85,2750,464,448.0,1
2,3.582058116516851e-85,2750,465,448.0,1
0,5.4540979593790146e-83,2676,463,449.0,1
1,5.4540979593790146e-83,2676,464,449.0,1
2,5.4540979593790146e-83,2676,465,449.0,1
0,1.2838280158812581e-80,5185,463,450.0,1
1,1.2838280158812581e-80,5185,464,450.0,1
2,1.2838280158812581e-80,5185,465,450.0,1
0,4.999086399561899e-78,2788,463,451.0,1
1,4.999086399561899e-78,2788,464,451.0,1
2,4.999086399561899e-78,2788,465,451.0,1
0,1.2496319219935315e-70,2198,463,452.0,1
1,1.2496319219935315e-70,2198,464,452.0,1
2,1.2496319219935315e-70,2198,465,452.0,1
0,2.1537972334043908e-67,2864,463,453.0,1
1,2.1537972334043908e-67,2864,464,453.0,1
2,2.1537972334043908e-67,2864,465,453.0,1
0,8.111750253614634e-64,4246,463,454.0,1
1,8.111750253614634e-64,4246,464,454.0,1
2,8.111750253614634e-64,4246,465,454.0,1
0,1.424854140499662e-55,17353,463,455.0,1
1,1.424854140499662e-55,17353,464,455.0,1
2,1.424854140499662e-55,17353,465,455.0,1
0,3.842382809669795e-51,17490,463,456.0,1
1,3.842382809669795e-51,17490,464,456.0,1
2,3.842382809669795e-51,17490,465,456.0,1
0,3.304330196020371e-46,13096,463,457.0,1
1,3.304330196020371e-46,13096,464,457.0,1
2,3.304330196020371e-46,13096,465,457.0,1
0,1.0796846690010603e-40,7946,463,458.0,1
1,1.0796846690010603e-40,7946,464,458.0,1
2,1.0796846690010603e-40,7946,465,458.0,1
0,2.991685320162522e-31,7756,463,459.0,1
1,2.991685320162522e-31,7756,464,459.0,1
2,2.991685320162522e-31,7756,465,459.0,1
0,2.5971329152091364e-22,7237,463,460.0,1
1,2.5971329152091364e-22,7237,464,460.0,1
2,2.5971329152091364e-22,7237,465,460.0,1
0,3.323498708469189e-14,4526,463,461.0,1
1,3.323498708469189e-14,4526,464,461.0,1
2,3.323498708469189e-14,4526,465,461.0,1
0,2.147454290448227e-07,11031,463,462.0,1
1,2.147454290448227e-07,11031,464,462.0,1
2,2.147454290448227e-07,11031,465,462.0,1
0,0.015102634493302044,1364,463,463.0,1
1,0.015102634493302044,1364,464,463.0,1
2,0.015102634493302044,1364,465,463.0,1
0,1.1754451192722464,1684,463,464.0,1
1,1.1754451192722464,1684,464,464.0,1
2,1.1754451192722464,1684,465,464.0,1
0,0.009123203468570353,3909,463,465.0,1
1,0.009123203468570353,3909,464,465.0,1
2,0.009123203468570353,3909,465,465.0,1
0,3.630468122841899e-09,4501,463,466.0,1
1,3.630468122841899e-09,4501,464,466.0,1
2,3.630468122841899e-09,4501,465,466.0,1
